review_no,goods_no,grade,content,size_option,like_count,has_image,user_height,user_weight,created_at
83708848,3862529,5,"가성비가 너무 좋아요 뒷축 잘 잡아주면서 쿠션감도 빵빵하고
엄청 편해요~ 발볼도 넓은편! 정사이즈하면 될 것 같아요",270,1,True,0,0,2026-04-15T20:37:51.000+09:00
83953242,3862529,5,"맥시마이저 우연히 알게된후 그레이 색상 이뻐서 구매합니다.
정핏으로 가면 되고 발볼 있으신분은 반업 정도 하심 좋을것 같아요.
신발 가볍고 디자인도 데일리로 착용하기 좋아요! 다만 왼쪽 측면 바느질 품질이 좀 안좋았는데 소모품이라 생각하고 착용하려구요.",270,0,True,0,0,2026-04-28T08:00:40.000+09:00
84027509,3862529,4,"신발이 너무가볍네요.
데일리로 안성맞춤인 신발입니다
올여름 잘신을게요",280,0,True,0,0,2026-04-28T19:01:09.000+09:00
84024577,3862529,5,"가격대비 너무 좋네요 쿠션감도 괜찮고 오래신어도 괜찮은같아요
강아지 산책용으로 좋은듯",270,0,True,0,0,2026-04-28T17:16:57.000+09:00
84008382,3862529,5,"사진보다 실물이 훨씬 이쁘고 착화감도 좋아요
발볼도 넓게 나와서 좋습니다!",280,0,True,0,0,2026-04-27T21:37:54.000+09:00
84001180,3862529,4,"착용감은 부드러워서 편해요 
사이즈 폭이 다소 작은감이 느껴집니다.
가볍고 디자인이 깔끔하게 떨어져서 다리가 아주 좋아요",280,0,True,0,0,2026-04-27T16:01:01.000+09:00
83979983,3862529,5,가볍고 착화감이 너무 좋습니다 그리고 색깔도 잘 빠져서 이 가격에 이런 디자인이면 촤고죠,265,0,True,0,0,2026-04-26T18:38:05.000+09:00
83970563,3862529,5,"가격대비 쿠션감도 좋고 발 안아프고 편안하네요
오래 걸어도 괜찮아요",270,0,True,0,0,2026-04-26T10:56:38.000+09:00
83958539,3862529,4,신발이 되게 가벼워요 발볼도 넓어서 편하게 신고 활동할 수 있을 것 같아요.,265,0,True,0,0,2026-04-25T19:28:14.000+09:00
83953232,3862529,5,"맥시마이저 우연히 알게된후 그레이 색상 이뻐서 구매합니다.
정핏으로 가면 되고 발볼 있으신분은 반업 정도 하심 좋을것 같아요.
신발 가볍고 디자인도 데일리로 착용하기 좋아요! 다만 왼쪽 측면 바느질 품질이 좀 안좋았는데 소모품이라 생각하고 착용하려구요.",270,0,True,0,0,2026-04-25T15:28:34.000+09:00
83921945,3862529,5,"실내 운동화로 구매했음. 발볼 정사이즈, 발크기 정사이즈. 평발이라 깔창 깔아야돼서 반사이즈 업해서 사감. 미끄럼방지 잘 모르겠음 실내운동화로 쓰는거라서",270,0,True,0,0,2026-04-24T02:37:02.000+09:00
83909043,3862529,4,"대체적으로 편하고 좋은거 같아요!!
가벼운 조깅용으로도 신는다는 댓글도 봤는데 그냥 데일리 신발로 어울리는듯 해요^^",270,0,True,0,0,2026-04-23T17:05:07.000+09:00
83891578,3862529,5,등산할때도 무리가 없을만큼 무게와 편안함 관점에서 만족입니다.,260,0,True,0,0,2026-04-22T22:22:52.000+09:00
81572648,3862529,4,"일단 행사가로 매우저렴한 가격에 득템해서 좋네요
가볍고 견고하고 깔끔합니다
다만 깔창이 좀 따로노네요?
후기작성기준 까다롭네요
사진수정해서 다시올려요",240,0,True,0,0,2026-04-21T23:38:48.000+09:00
83771056,3862529,5,가볍고 편해서 달리기나 운동할 때 신기 좋습니다.,280,0,True,0,0,2026-04-18T11:59:03.000+09:00
83725764,3862529,5,신발이 매우가볍고 통풍이잘되서 여름에 좋습니다,265,0,True,0,0,2026-04-16T14:31:17.000+09:00
83708963,3862529,5,가성비가 너무 좋아요 뒷축 잘 잡아주면서 쿠션감도 빵빵하고 엄청 편해요~ 발볼도 넓은편! 정사이즈하면 될 것 같아요,270,0,True,0,0,2026-04-15T20:41:42.000+09:00
83695846,3862529,5,"러닝화는 어렸을 때 이후로 처음 신어보는데
신발이 이렇게 편할 수가 있는 거였군요
역시 발 편한 신발이 최고 같습니다
디자인도 이쁘고 사이즈는 딱 정사이즈에요
잘 신을게요~",260,0,True,0,0,2026-04-15T11:50:40.000+09:00
83665179,3862529,5,신발이 가벼워서 좋습니다! 다만 처음 신었을때 적응이 약간 안됐어요,260,0,True,0,0,2026-04-14T09:49:23.000+09:00
83637737,3862529,5,남자친구한테 선물로 사줬는데 편하고 푹신푹신하고 통풍 잘 된다고 엄청 좋아했어요,280,0,True,0,0,2026-04-13T00:06:42.000+09:00
84045863,5174704,4,일단 조깅도 가능할정도로 가볍고 사이즈는 잘 맞아요. 쿠션감이 적당해서 발이 덜 피곤합니다,REAL BLACK · 260MM,0,True,0,0,2026-04-29T11:34:09.000+09:00
84040648,5174704,5,디자인도 예쁘고 신었을 때 편안하고 좋네요 발볼도 적당해요,REAL BLACK · 270MM,0,True,0,0,2026-04-29T02:25:58.000+09:00
84014590,5174704,5,정만 가성비 좋은신발입니다~ 너무 가볍고 디자인도 이쁘네요^^,REAL BLACK · 260MM,0,True,0,0,2026-04-28T07:09:27.000+09:00
83577956,5174704,5,"할인도 많이 해서 사게됐는데, 신발도 되게 가볍고 여름에도 신기 좋을 거 같애요",REAL BLACK · 260MM,0,True,0,0,2026-04-10T11:40:21.000+09:00
83295137,5174704,5,"가격대비 품질에 만족합니다. 아빠가 좋아하셨어요.
아웃도어 브랜드 답게 가볍고 딴딴한 제품입니다.",REAL BLACK · 260MM,0,True,0,0,2026-03-29T13:16:29.000+09:00
83017214,5174704,5,신발 너므 예쁘고 편해요 딱 제가 찾던 올블랙 운동화!! 디자인도 예쁜데 편하다?? 최고,REAL BLACK · 240MM,3,True,0,0,2026-03-17T17:54:23.000+09:00
82972269,5174704,5,매일 신고 다니기 편한 신발로 아주 좋어요 가볍고 편해서 ㅎㅎ,REAL BLACK · 270MM,1,True,0,0,2026-03-15T18:02:40.000+09:00
82787258,5174704,4,블랙 색상이라 깔끔하게 어디든 매치가 가능할 것 같아서 좋아요! 그리고 매쉬 소재라 땀 나도 괜찮을 듯!!,REAL BLACK · 240MM,1,True,0,0,2026-03-07T16:45:56.000+09:00
82072677,5174704,5,"너무편하고가볍고좋아요할인해서잘샀어요
사이즈가또있음남편꺼도사고싶네요",REAL BLACK · 230MM,1,True,0,0,2026-02-05T13:21:54.000+09:00
83178589,5174704,5,"딸래미 운동화 불편하다해서 새거 구입했는데 신발편하고 좋다고하네요
가격도 좋으네요",REAL BLACK · 240MM,0,True,0,0,2026-03-24T08:23:47.000+09:00
83173309,5174704,4,"노스페이스 운동화는 처음인데 일단 상당히 가볍습니다!!
미끄럽지만 않으면 한 겨울을 제외하고 잘 신을 수 있을 거같습니다!",REAL BLACK · 280MM,0,True,0,0,2026-03-23T22:00:20.000+09:00
83159214,5174704,4,"노스페이스 브랜드 운동화 처음 주문해 보았는데 일단 너무 가볍습니다! 그리고 디자인도 예쁘고요!
신고 다녀봐야 알겠지만 너무 가벼워서 미끄러지진 않을지 걱정은 되지만 그래도 가격대비 만족합니다!",REAL BLACK · 280MM,0,True,0,0,2026-03-23T09:19:08.000+09:00
82771977,5174704,5,운동할 때 가볍게 신을 운동화 같아서 좋아요 메쉬소재라 통풍이 잘돼요,REAL BLACK · 240MM,0,True,0,0,2026-03-06T21:52:02.000+09:00
82715688,5174704,5,통풍도 잘되고 무게 또한 가벼워서 만족스럽습니다,REAL BLACK · 280MM,0,True,0,0,2026-03-04T19:01:36.000+09:00
82629237,5174704,5,일단 신발이 매우 가볍고 편합니다. 운동할때 신으면 진짜딱일것같아요,REAL BLACK · 260MM,0,True,0,0,2026-02-28T15:53:11.000+09:00
82376187,5174704,5,회사에서 신으려고 샀는데 매우가볍고 매쉬 소재라 통풍도 좋습니다.,REAL BLACK · 270MM,0,True,0,0,2026-02-20T09:08:45.000+09:00
79642083,5174704,5,"평소 265 신는데 270 주문하니 딱 맞네요
발볼 넓이 적당하고 무게가 가볍습니다",REAL BLACK · 270MM,0,True,0,0,2025-11-11T12:05:46.000+09:00
79642046,5174704,5,"신어보니 발이 편하고 가볍습니다
발볼도 적당하네요",REAL BLACK · 270MM,0,True,0,0,2025-11-06T16:36:02.000+09:00
79184080,5174704,3,비닐에 배송되서 쪼끔 그랬지만..! 신발 자체는 그럭저럭 괜찮네용 발볼도 넉넉하고!! 헬스장 신발로 무난할 것 같습니당,REAL BLACK · 250MM,2,True,0,0,2025-10-20T22:15:35.000+09:00
79083315,5174704,3,디자인이 예뻐서 내가신고 싶었으나..혈육이 본인이 사고 싶대서 사줬는데..디자인은 통과이나 밑창이 신다보면 미끄러워질것 같다고 불평을 해대서..그건 좀 아쉽습니다.,REAL BLACK · 260MM,2,True,0,0,2025-10-17T00:41:00.000+09:00
83899864,5916487,5,"가볍운 운동하려고 구매했습니다.
발도 편하고 가볍고 운동 잘할수있겠습니다.",280,0,True,0,0,2026-04-23T09:55:59.000+09:00
83860715,5916487,5,러닝 입문용으로 딱 가격좋아요 할인할때사서 그런지 부담없이 좋아요,270,0,True,0,0,2026-04-21T21:55:01.000+09:00
83823471,5916487,5,쿠션감 좋고 발볼도 넉넉해서 러닝화 입문템으로 좋아요,255,0,True,0,0,2026-04-20T12:50:28.000+09:00
83756917,5916487,5,생각만큼 푹신푹신하지는 않았지만 적당히 단단해서 발목 잘 잡아줄듯,255,0,True,0,0,2026-04-17T18:51:39.000+09:00
83462953,5916487,5,고등학생 체육 시간에 운동화로 신고 있는데 가볍고 편하고 쿠션감이 있어서 너무 좋아해요,250,0,True,0,0,2026-04-05T16:24:43.000+09:00
83112657,5916487,4,발폭이 넓어서 좋응   다른브랜드인경우 발ㅇ볼이 작아서 불편하였는데  이건 편해서 좋음,280,0,True,0,0,2026-03-21T10:05:28.000+09:00
82880708,5916487,5,"이뻐서 구매합니다 운동할때
 신겠습니다!!
좋은신발 감사합니다! ㅎㅎ",280,0,True,0,0,2026-03-11T18:35:25.000+09:00
83984411,5916487,5,"안정화 러닝화 신어봤는데 확실히 편하다. 발이 안쪽으로 무너지는 느낌을 딱 잡아줘서 오래 뛰어도 덜 피곤함.
착지할 때 흔들림이 거의 없어서 무릎이나 발목 부담이 줄어드는 느낌이고, 장거리 뛸 때 특히 안정감이 좋다. 페이스 유지하기도 훨씬 수월함.
쿠션도 적당히 받쳐주면서 단단하게 잡아줘서, 그냥 막 뛰는 느낌이 아니라 힘 전달이 잘 되는 느낌이다. 초보든 꾸준히 뛰는 사람이든 부담 없이 신기 좋은 신발임.",280,0,False,0,0,2026-04-26T21:29:51.000+09:00
83795193,5916487,1,"2개에 30프로 할인이라 샀던건데, 1개는 재고가 있었음에도 취소 시키고 강제로 구입한 꼴이라 매우 불쾌하구요. 2개를 같이 샀는데 따로따로 처리되는 시스템이 정말 불합리하고 이상해요.",280,0,False,0,0,2026-04-19T11:49:38.000+09:00
83762074,5916487,5,신발이 가볍고 발에 잘 맞아서 달릴 때 편하고 좋아요,245,0,False,0,0,2026-04-17T22:19:21.000+09:00
83691977,5916487,5,"처음 러닝 시작해보고자 구매했는데
일반운동화 신다가 러닝화 신으니 신세계였습니다.
가성비 입문용으로 많이 추천!",275,0,False,0,0,2026-04-15T08:28:48.000+09:00
82653869,5916487,4,런닝화로 신어도 이쁘고 그냥 데일리로 청바지에다 입어도 이뻐요 활용도 굿,260,0,False,0,0,2026-03-01T17:37:52.000+09:00
83894321,5916487,5,"아이발이편하다고하네요
아디다스만신습니다",265,0,False,0,0,2026-04-22T23:55:42.000+09:00
83152729,5916487,3,정사이즈보다 한 사이즈 크게 사는걸 추천합니다,260,0,False,0,0,2026-03-22T22:47:55.000+09:00
82241867,5916487,5,런닝머신으로 운동할때 신으려고 하나 장만했습니다 좋숩니다,255,0,False,0,0,2026-02-13T16:55:44.000+09:00
84014255,6245530,5,오래 신어도 아주 편해용 일반 러닝화 느낌은 아니지만 질 신을 듯용,240,0,True,0,0,2026-04-28T05:17:30.000+09:00
84014251,6245530,5,디테일이랑 컬러가 너무 이뻐서 바로 구매햇어용 좋아여,240,0,True,0,0,2026-04-28T05:16:30.000+09:00
83962469,6245530,5,"일단 사이즈는 뉴발하고 같은것같아요.
착용감 매우뛰어났어요. 굉장히 가볍고, 저는 패션으로 신으려고샀는데 왠지 산에 가고싶은 욕구가 드는 마음이 드는 신발입니다.
색깔또한 어디에 매치해도 다 맞을것같아요.",270,0,True,0,0,2026-04-25T22:19:29.000+09:00
83983050,6245530,5,트레킹이나 트레일러닝 용도로 구매했는데 기획의도답게 아무 옷이든 다 잘어울려서 출퇴근 용도로도 신을수있습니다! 범용성 굿,235,0,True,0,0,2026-04-26T20:41:44.000+09:00
83940802,6245530,3,"왼쪽 부분에 접착흔적과 뜯긴흔적이 있네요 근데 그냥 신으려구요 검수하고 보내신건지 박스테이프가 덕지덕지던데 랜덤뽑기실패해서 좀 속상한데 환불받거니 교환하거나 그럴 시간을 그냥 기회비용으로 쓰겠습니다.
아 참고로 저는 발볼이 좁은편이고 250정사이즈를 신는데 남녀공용신발이라 그런지 살짝 크고 볼도 넉넉하네요 딱 원하던 사이즈입니다.",250,0,True,0,0,2026-04-24T22:51:56.000+09:00
83936192,6245530,5,미즈노 오랜만인데 커버낫과 협업제품이라 구매 해봅니다,270,0,False,0,0,2026-04-24T19:18:35.000+09:00
83978304,3428602,5,싼 값에 아주 잘샀고용 하지만 런닝용은 아니에요 쿠션감이 없구.... 그냥 헬스장에서 편하게 신고이써용,270,0,True,0,0,2026-04-26T17:25:46.000+09:00
83627018,3428602,5,확실히 런닝화가 운동하기 편하네요 가볍고 좋아요,270,0,True,0,0,2026-04-12T16:57:22.000+09:00
83620009,3428602,5,"미즈노 신발은 처음 신어보는데요.
발등 중간부분을 딱 잡아주면서 발볼은 살짝 넓어서 활동하기 편합니다.
디자인도 맘에 듭니다.",245,0,True,0,0,2026-04-12T10:33:30.000+09:00
81016032,3428602,5,"누구는 발볼이 좁아 반치수 업해라 누구는 정사이즈다 이러는데 제가 종결짓겠습니다. 적당히 발볼이 넓은사람까지는 정사이즈 가십쇼! 제가 네모발이기도하고 발볼이 적당히 넓은 편이여서 그말듣고 반치수 업했는데 조금 큽니다. 전혀 헐떡거리진 않고 딱 맞긴한데 앞코가 남아서 런닝중에 발이 앞으로 가네요. 그래도 발볼이 넓게 나온편입니다. 호카 와이드 같은 경우에는 그냥 딱 발볼러들에게 편안하게 잡아준다면 이 신발은 조금 날카롭게 잡아주고 발목까지 잘 잡아주눈 느낌이 납니다. 통기성은 좋은 편이규 살짝 딱딱한 느낌인데, 진짜 너무 너무 발볼러 아니라면 정사이즈 가시는걸 추천드려요! 길이도 폭도 넓고 길게 나온편입니다. 제가 앞으로 발 밀리는게 반치수 밀리는 느낌이 아니라서요. 칼발이나 일반발이신분은 반치수 내려도 괜찮을듯해요. 저렴하게 잘 구매했습니다.",265,11,True,0,0,2025-12-15T14:23:00.000+09:00
82676015,3428602,5,"오!!!진짜 가볍고 좋아요
얼핏 뉴발같아요  어짬 가성비도 좋고
가심비도 좋나요? 적극추천",270,1,True,0,0,2026-03-02T17:56:36.000+09:00
82403480,3428602,5,"좀 싼티나긴해도 가볍고 쿠션 적당해서 좋았어요
걸어도 숨차던 저에게 희망을 준 신발이에요 ㅎㅎ 러닝 입문에 추천합니다
발볼 조금있는데 정사이즈 꽉끈해요 👏",265,1,True,0,0,2026-02-20T23:11:36.000+09:00
82814722,3428602,5,"가볍고 편하고 얼핏보면 뉴☆같아요
런닝화로도 제격이고
데일리로도 괜찮네요
정사이즈입니다",270,0,True,0,0,2026-03-08T20:23:34.000+09:00
79520937,3428602,5,"운동화  엄청 가볍고 발바닥도 편해서 런닝하기에 적합한
운동화에요.  사이즈는 조금 크게 나와서  한사이즈 작게
하는게 좋을듯 합니다.  색상도 너무 예뻐서 맘에 들어요",280,3,True,0,0,2025-11-01T23:52:37.000+09:00
83270099,3428602,5,"정사이즈 신었고 엄청 가볍고 편합니다
잘 신을게요",270,0,True,0,0,2026-03-28T07:03:27.000+09:00
79408113,3428602,5,"다른 브랜드 신발을 신다가 발이 너무 아파서 샀어요ㅠ
근데 발이 꽤 작아보이고 착화감도 편해요!!",250,0,True,0,0,2026-03-27T10:53:03.000+09:00
83238224,3428602,5,런닝화로 유명한 미즈노 처음 사봤는데 넘 편하고 좋네요ㅎㅎ,260,0,True,0,0,2026-03-26T17:31:16.000+09:00
83014416,3428602,5,헬스할때 쓰려고 샀는데 매우 만족하고 있어요 가성비 짱입니다,260,0,True,0,0,2026-03-17T15:47:46.000+09:00
82942019,3428602,5,러닝할때 쓰려고 구매했는데 적당히 편하고 가벼워서 안성맞춤이네요,255,0,True,0,0,2026-03-14T11:36:41.000+09:00
82784669,3428602,5,"실물보다 색상도 디자인도 이뻐요
가볍고 어떤옷에도 잘어울려요
추천합니다",265,0,True,0,0,2026-03-07T15:08:02.000+09:00
82784632,3428602,5,"사진보다 실물이 더 이쁘고 가벼워요
어떤옷에도 잘어울려서 좋아요",265,0,True,0,0,2026-03-07T15:06:35.000+09:00
82780742,3428602,5,"실제로는조금더어두운진짜 굴색깔입니다
무난하게 어디든 신기 좋고 정 사이즈인데 아주 조금 작다고 느껴지기도 하네요 바닥은 약간 딱딱하긴 한데 이상하게 손이 자주 가는 신발",270,0,True,0,0,2026-03-07T11:42:41.000+09:00
82767559,3428602,5,할인하길래 싸게 신을 생각으로 구매했어요. 사이즈는 정사이즈 가면 딱 맞을 거 같고 발볼도 넓어요 쿠셔닝이 엄청 뛰어난 편은 아닌데 착화감이 진짜 좋아요,270,0,True,0,0,2026-03-06T18:30:55.000+09:00
82767498,3428602,5,"할인하길래 싸게 신을 생각으로 구매했어요.
사이즈는 정사이즈 가면 딱 맞을 거 같고 발볼도 넓어요
쿠셔닝이 엄청 뛰어난 편은 아닌데 착화감이 진짜 좋아요",270,0,True,0,0,2026-03-06T18:27:22.000+09:00
82746901,3428602,5,신발이 가격에 비해 디자인도 좋고 발볼도 넓고 좋넹ㅎ,270,0,True,0,0,2026-03-05T21:04:52.000+09:00
82733541,3428602,5,"미즈노 와이드라서 넓은 발볼을 편하게 해주네요.
엷은 회색이 도니까 신발이 예뻐보입니다.",280,0,True,0,0,2026-03-05T11:44:17.000+09:00
83291320,5360128,5,"신랑이 
검은색 무난한 거 찾길래
세일할 때 사줬는데
평소 편하게 무난하게 아무 옷에나 입기 편하고 발도 편하다고 좋대요",270,1,True,0,0,2026-03-29T08:40:51.000+09:00
83993571,5360128,5,"발이 편해서 일상생활용, 운동용으로 두개 구매했어요. 발볼이 넓고 발등이 두꺼운편이라면 한사이즈 크게 신는것도 좋아요.",285,0,True,0,0,2026-04-27T09:13:41.000+09:00
83993455,5360128,5,발볼이 넓은 편인데 편하네요. 가볍고 일상생활에 신고다니기 좋아요.,280,0,True,0,0,2026-04-27T09:03:42.000+09:00
83903894,5360128,5,오사카 여행가서 러닝할려고 샀는데 가볍고 편하네요.,280,0,True,0,0,2026-04-23T13:25:13.000+09:00
83496368,5360128,5,"와이드라고 생각보다 작아요(앞뒤가)
바닥이 고무라 미끄러지지않고 좋아요",270,0,True,0,0,2026-04-09T23:13:39.000+09:00
83380961,5360128,5,산책용으로 구입했습니다 가볍고 시원해서 좋아요,270,0,True,0,0,2026-04-02T00:04:17.000+09:00
83360876,5360128,4,"미즈노 신발은 활동성 + 디자인에서 모두 참 좋은것 같습니다,

이 모델은 특히 가격도 저렴하여 가성비로는 정말 좋은것같습니다

사실 처음에 구입 시에는 바닥 아웃솔 사진을 보고 접지력이 우수하진 않을 수 있겠다는 생각을 했는데

제품을 받아보니 접지력이 매우 우수하고 발볼도 일반 신발보다는 넓어서 편하게 신을 수 있을 것 같습니다

한사이즈 다운 하여도 괜찮을것 같습니다

가성비 런닝화 찾으시는 분들께 좋은 선택지가 될것 같습니다.",250,0,True,0,0,2026-04-01T11:53:25.000+09:00
82700610,5360128,5,"디자인은 아주 심플해요 그래서 어떤옷에 신어도 잘 어울려요
사이즈는 반치수 업했는데 살짝 큰거같기도 하지만 개인적으로는  편하게 잘맞아요
착용감은 바닥 쿠션이 조금있고 발볼이 넓어서   편해요
신발무게도 가벼워  걷기운동할때 좋을거 같아요
가격도 할인해서  좋은가격에  좋은제품  사서 아주만족스럽네요",285,1,True,0,0,2026-03-03T22:25:58.000+09:00
82227170,5360128,5,헬스장에서 유산소 위주로 생각하고 구매했어요! 아직 운동은 안 해봤는데 신었을 때 막 푹신하지도 않고 적당히 쿠션감있어서 입문으로 딱 좋을 것 같아요. 가격도 저렴하고 잘 신겠습니다.,245,2,True,0,0,2026-02-12T23:22:14.000+09:00
83245877,5360128,5,색상이 일단 올블랙이라서 너무 좋고 발볼 넓은 스타일이라서 좋습니다. 디자인도 무난하구요.,280,1,True,0,0,2026-03-26T22:34:34.000+09:00
83054710,5360128,5,"인도어 스포츠화로 신기에는 넘 미끄러워용 쿠션감도 부족하고 앞코가 메쉬라 겨울에 신기에도 발가락 시렵습니더 무게감도 살짝있구 ,,, 근데 모든걸 이기고 가성비가 너무 좋아서 전투화로 계속 살거같아요 굿굿 추천해유",230,1,True,0,0,2026-03-18T21:32:29.000+09:00
82700481,5360128,5,"디자인은 아주 심플해요 그래서 어떤옷에 신어도 잘 어울려요
사이즈는 반치수 업했는데 살짝 큰거같기도 하지만 개인적으로는  편하게 잘맞아요
착용감은 바닥 쿠션이 조금있고 발볼이 넓어서   편해요
신발무게도 가벼워  걷기운동할때 좋을거 같아요
가격도 할인해서  좋은가격에  좋은제품  사서 아주만족스럽네요",285,1,True,0,0,2026-03-03T22:21:43.000+09:00
